article_id,event,ticker,overall_sentiment_score,sentiment_label,similarity_score,cluster_id,title,description,snippet,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
1,How will AI chip demand affect semiconductor stocks?,NVDA,-0.13409888744354248,Neutral,0.2476553915644584,2,Why Isn’t NVIDIA Stock at $300 While Other Semiconductor Stocks Rally? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxOVHJlbHg5Y0xWck9EQkpha01jVTkyQmlrTnhETVVIX1ljQkFsTUJxTXhSTWhUc05nWkloRU9GZl95ampyZFhTZUwyQTVzWVJVSUFaSnRZaHlxNnNuMzlpODh3RTVMUlpKOFpLci1Hbko2S0xFeFhXTW5oUnJrbFlsVnM4WHhXUTZNYXgxZkQ5MGw?oc=5"" target=""_blank"">Why Isn’t NVIDIA Stock at $300 While Other Semiconductor Stocks Rally?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Why Isn’t NVIDIA Stock at $300 While Other Semiconductor Stocks Rally?,0.0,0.05981692767001074,0.05981692767001074,0.0,0.0,0.0,0.0,0.0,0.05981692767001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05981692767001074,0.05981692767001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20537276899172363,0.11963385534002148,0.0,0.05981692767001074,0.05981692767001074,0.05981692767001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11963385534002148,0.0,0.05981692767001074,0.5431255712292418,0.05981692767001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05981692767001074,0.0,0.554004707083888,0.28162161806773756,0.4035658774456444,0.0,0.0,0.05981692767001074,0.0,0.0,0.0,0.0,0.20537276899172363
2,How will AI chip demand affect semiconductor stocks?,NVDA,-0.9434068202972412,Very Bearish,0.19488243368815725,4,"Nvidia Stock Drops. What’s Hitting AMD, Broadcom, and the AI Chip Players. - Barron's","<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBuMkdhamh2YzNLM0N0d0x3dEsyVXlwLU1FaElsNGVleHlDN01Qd0IzcEVOLVBOaWwxOU9abFVSQWc2OHFHNHBWMUtRTWFZRkprRUt0Y21VMFE5ZWswVS1QQUs4QnZiVDlNNG83dW5jTWRTOGpNQlM0eE12NFN4UQ?oc=5"" target=""_blank"">Nvidia Stock Drops. What’s Hitting AMD, Broadcom, and the AI Chip Players.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Barron's</font>",Nvidia Stock Drops.,0.0,0.06404168439063943,0.06404168439063943,0.0,0.26879733169840114,0.0,0.0,0.0,0.06404168439063943,0.0,0.4434140086522494,0.0,0.0,0.0,0.0,0.0,0.4691165873427238,0.06404168439063943,0.06404168439063943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12808336878127885,0.0,0.06404168439063943,0.06404168439063943,0.06404168439063943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12808336878127885,0.0,0.06404168439063943,0.5814855053912635,0.06404168439063943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06404168439063943,0.0,0.0,0.3015120215028591,0.0,0.0,0.0,0.06404168439063943,0.0,0.0,0.0,0.0,0.0
3,How will AI chip demand affect semiconductor stocks?,NVDA,-0.9187919497489929,Very Bearish,0.1934855405858556,4,Nvidia Stock Falls. What Big Tech Earnings Mean for the AI Chip Race. - Barron's,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTllBZjBKUVFrbEFPSy0xODdEclp6VHZYUk9aeFF4VGlNQzllbWdiNmdjdUZ2SHNyMWJmdGJ1amhzdGpCSTl2ajc1dk1kZlB4VDFRWjB2SF9RUFVYZWUwNmZHUU5ubUtGdzBRWTRkSFpiSE5ZMFpwN2ZWZFRtVDl5NC1iaUdPRnNN?oc=5"" target=""_blank"">Nvidia Stock Falls. What Big Tech Earnings Mean for the AI Chip Race.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Barron's</font>",Nvidia Stock Falls.,0.0,0.05046465800480974,0.05046465800480974,0.0,0.21181150286465444,0.0,0.0,0.0,0.05046465800480974,0.0,0.3494089281706679,0.0,0.39502747755657786,0.0,0.0,0.0,0.36966248420683745,0.05046465800480974,0.05046465800480974,0.0,0.0,0.25878029735180247,0.0,0.0,0.0,0.0,0.0,0.10092931600961948,0.0,0.05046465800480974,0.05046465800480974,0.05046465800480974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10092931600961948,0.0,0.05046465800480974,0.45820885948798007,0.05046465800480974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05046465800480974,0.0,0.0,0.23759058173217895,0.0,0.0,0.0,0.05046465800480974,0.39502747755657786,0.0,0.0,0.0,0.0
4,How will AI chip demand affect semiconductor stocks?,NVDA,-0.9583243727684021,Very Bearish,0.1871235328034179,4,Amazon Stock Down 9% as Investors Bet on Trainium3 AI Chip to Challenge Nvidia - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNaGlnaUZ6Y1l3cWZuUEVmQ19rM1hXaVU4UElqaGFrQTVKeXh4RnRwMkcwSnIwaXAtZU11U1YtT01VbFJycWNpSnF3cTA3Vlc4c3JGU1BzR2JDME1JOVU0TU5VNU5wenh0NGM5LUltazlEMDE4SHU1TC0ySEpPaHNxXw?oc=5"" target=""_blank"">Amazon Stock Down 9% as Investors Bet on Trainium3 AI Chip to Challenge Nvidia</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Amazon Stock Down 9% as Investors Bet on Trainium3 AI Chip to Challenge Nvidia - Yahoo Finance.,0.0,0.05439100097714389,0.05439100097714389,0.0,0.34243686913078003,0.0,0.0,0.0,0.05439100097714389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976354542358501,0.05439100097714389,0.05439100097714389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28011545177974484,0.10878200195428778,0.0,0.05439100097714389,0.05439100097714389,0.05439100097714389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878200195428778,0.0,0.05439100097714389,0.49385925733949043,0.05439100097714389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05439100097714389,0.0,0.0,0.25607603566685166,0.0,0.0,0.0,0.05439100097714389,0.0,0.0,0.0,0.0,0.28011545177974484
5,How will AI chip demand affect semiconductor stocks?,TSM,-0.6045801043510437,Very Bearish,0.2266992659826508,2,Citi Remains Bullish on Taiwan Semiconductor (TSM) Amid Growing Demand for AI-Driven Chips - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQY0tJdi1PMThOVkd4Um5SQVptbFlsVkNnUFpfMnhEMTRRVHVtbmVCYWZjSlQxd3pmc3ZSbXk3QmlRN3U3WlNaTzRwQmhPaDhKSExqS2ppMjVCUTUyVUxKUFkxWVJoTER0dGJqVDNFMkN2ejZFYWp4aXctV0l1ZjQyN0JNNmdoT0c4S3pyd3BTa1NJUTlLVW9iLTJod1NYSkM0QjVtTllic2o4czZpckNn?oc=5"" target=""_blank"">Citi Remains Bullish on Taiwan Semiconductor (TSM) Amid Growing Demand for AI-Driven Chips</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Citi Remains Bullish on Taiwan Semiconductor (TSM) Amid Growing Demand for AI-Driven Chips - Yahoo Finance.,0.0,0.043094331534963025,0.043094331534963025,0.0,0.2713148811936332,0.0,0.5259300656652826,0.0,0.043094331534963025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043094331534963025,0.043094331534963025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22193723097934703,0.08618866306992605,0.0,0.043094331534963025,0.043094331534963025,0.043094331534963025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08618866306992605,0.0,0.043094331534963025,0.0,0.043094331534963025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043094331534963025,0.0,0.3991255226398502,0.0,0.0,0.0,0.41638886095210964,0.043094331534963025,0.0,0.0,0.0,0.42596976151623855,0.22193723097934703
6,How will AI chip demand affect semiconductor stocks?,TSM,-0.5943564176559448,Bearish,0.22578046389236076,2,Taiwan Semiconductor CEO just dropped a hint about the next move in AI stocks - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxOTUFLTEtUcXRpYTFLcWpMSVVhN0YwR1EyV1lZZmRvVHdqd1JBa05OcDFhRVVVVHQybTIxMTNNaHhZUmhXT2pveFg1Y1ZHTTJ1ZmFwNGlNd193bUpjOWE4X2pWSnVsT2k0QTNQZzhJMDVGdk5BNkMtV1RUU0EtTFRpYVlTOFlsUHpHaHFDdGdkTlZ3dFpSSkNXYjR4aVVfbzVzdTJhRHJ5c25udlo2UW9uU0RMdTR4QTNMOUFoUmlJU1o?oc=5"" target=""_blank"">Taiwan Semiconductor CEO just dropped a hint about the next move in AI stocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Taiwan Semiconductor CEO just dropped a hint about the next move in AI stocks - Yahoo Finance.,0.0,0.04534784158503666,0.04534784158503666,0.0,0.285502612844798,0.0,0.0,0.0,0.04534784158503666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04534784158503666,0.04534784158503666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23354288217947536,0.09069568317007332,0.0,0.04534784158503666,0.04534784158503666,0.04534784158503666,0.0,0.0,0.0,0.5534322601859479,0.0,0.0,0.0,0.09069568317007332,0.0,0.04534784158503666,0.0,0.04534784158503666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04534784158503666,0.0,0.4199967914233112,0.0,0.30594753345559306,0.0,0.43816287274140975,0.04534784158503666,0.0,0.0,0.0,0.0,0.23354288217947536
7,How will AI chip demand affect semiconductor stocks?,TSM,0.01519080065190792,Neutral,0.21188281562501243,2,Taiwan Semiconductor Stocks: Analyzing TSM Vs. TSMY For Your Investment Strategy - Forbes,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQZVFGd0lwYkpYamxJUHJzRHFLTDgtQ2MzYzJGOG93LXJvaG02VF9QQTAzSmxEYXJDQmlfX3RiVWZYTHhjMkllMVFuTGRMbG1CaWhtSDNORlRhTERfUXAyejJSZ0drTHRiMFhRTWVlYU5qN0hfbC1wODI5SERWaEx4UEJTUF9rekFpMGt0Q2JyRVBLaWxS?oc=5"" target=""_blank"">Taiwan Semiconductor Stocks: Analyzing TSM Vs. TSMY For Your Investment Strategy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font>",Taiwan Semiconductor Stocks: Analyzing TSM Vs.,0.0,0.05404530958855391,0.05404530958855391,0.0,0.0,0.0,0.0,0.0,0.05404530958855391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05404530958855391,0.05404530958855391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10809061917710781,0.0,0.05404530958855391,0.05404530958855391,0.05404530958855391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10809061917710781,0.0,0.05404530958855391,0.0,0.05404530958855391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05404530958855391,0.0,0.5005498790081787,0.0,0.36462659711058915,0.0,0.522200115370728,0.05404530958855391,0.0,0.0,0.0,0.5342156802648115,0.0
8,How will AI chip demand affect semiconductor stocks?,TSM,0.057402558624744415,Neutral,0.20489334605262255,2,Why Taiwan Semiconductor Manufacturing Company Limited (TSM) Is Among the Best Semiconductor Stocks with Huge Upside Potential? - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQLWROTUozY0NKdmhLdXhJUDFyYzYwd29PamZBLUktczQyeDh1cjZJX1ZtVTEzYW9lTS1Kd1FpdTh1UkN6ekFNQ2Jsc1dtb2RIRzVnS29fVlNDdUc1ZnFrQ01qbEtIb2ctZXFGMHZMWmpaUE9SVFlLaDBHLVE2cGpMb2tNRE9ybXZUenB1WlQ1SFJrZkVnRW1B?oc=5"" target=""_blank"">Why Taiwan Semiconductor Manufacturing Company Limited (TSM) Is Among the Best Semiconductor Stocks with Huge Upside Potential?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",Why Taiwan Semiconductor Manufacturing Company Limited (TSM) Is Among the Best Semiconductor Stocks with Huge Upside Potential?,0.0,0.037119050003348704,0.037119050003348704,0.0,0.0,0.0,0.0,0.0,0.037119050003348704,0.0,0.0,0.3758198863818282,0.0,0.0,0.0,0.0,0.0,0.037119050003348704,0.037119050003348704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1274428891364123,0.07423810000669741,0.0,0.037119050003348704,0.037119050003348704,0.037119050003348704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07423810000669741,0.0,0.037119050003348704,0.0,0.037119050003348704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037119050003348704,0.0,0.6875688613692286,0.0,0.25043048127094625,0.0,0.35865410600415365,0.037119050003348704,0.0,0.0,0.0,0.36690655857621596,0.1274428891364123
9,How will AI chip demand affect semiconductor stocks?,AAPL,0.013831458985805511,Neutral,0.08456997101238951,4,Apple Stock (AAPL) Opinions on AI Upgrade Delays - Quiver Quantitative,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxOUy1fT1lGbEZfSDBYWnN0czU3RjQ5STZRaWxLeWtRT3dtR2dGVU10Nl9TdVNpd21KN1VuSFBDSEtZSjJJSmFOT0ZKbFhJWWh1ZGVIT2FuemU0Y3FPd2MzZEpFb2hnSVZYbUVNT0pkMlBMSkRWbzhpa1JjVFZyeDdPRXlqQ0l3ai1YVDBycnBB?oc=5"" target=""_blank"">Apple Stock (AAPL) Opinions on AI Upgrade Delays</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Quiver Quantitative</font>",Apple Stock (AAPL) Opinions on AI Upgrade Delays - Quiver Quantitative.,0.0,0.037535478368968846,0.037535478368968846,0.4005666863980342,0.2363172484984621,0.0,0.0,0.3549087060137373,0.037535478368968846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037535478368968846,0.037535478368968846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07507095673793769,0.0,0.037535478368968846,0.037535478368968846,0.037535478368968846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07507095673793769,0.0,0.037535478368968846,0.0,0.037535478368968846,0.0,0.45808893885158425,0.0,0.0,0.4407305803269306,0.4407305803269306,0.0,0.037535478368968846,0.0,0.0,0.1767192426119078,0.0,0.0,0.0,0.037535478368968846,0.0,0.0,0.0,0.0,0.0
10,How will AI chip demand affect semiconductor stocks?,AAPL,0.05148284137248993,Neutral,0.08407906328763494,4,Apple Stock (AAPL) Opinions on Google AI Collaboration - Quiver Quantitative,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxNQ3hqR1pnd3VpV1FtMlp5UE1HMDlQX3oyaVR5dGY5RmNvbWZnbFZMMlZTQVRfWjJxcldtRE9lUWQ5cFRrYUVQaXk2QUNTSzhMUmRZUEh6UnBFOS1IQ3RDd3FuTnIxeC02U3B1aGg2RGRzWUpoMFBqbUFCM0JjSUVUZ3JHN28yaUJDSjdyT3V4R2VkeUJzWGc?oc=5"" target=""_blank"">Apple Stock (AAPL) Opinions on Google AI Collaboration</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Quiver Quantitative</font>",Apple Stock (AAPL) Opinions on Google AI Collaboration - Quiver Quantitative.,0.0,0.037145024939644514,0.037145024939644514,0.3963998915902053,0.2338590174036642,0.0,0.0,0.35121685693170496,0.037145024939644514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037145024939644514,0.037145024939644514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07429004987928903,0.0,0.14858009975857805,0.037145024939644514,0.037145024939644514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07429004987928903,0.0,0.037145024939644514,0.0,0.037145024939644514,0.0,0.45332378319399674,0.0,0.0,0.4361459906540568,0.4361459906540568,0.0,0.037145024939644514,0.0,0.0,0.17488096487298702,0.0,0.0,0.0,0.037145024939644514,0.0,0.0,0.0,0.0,0.0
